product_id,product_name,category,price
bc4505ae-03e9-43cc-99d9-469af72cad29,Dark,fashion,220.44
2a43f240-66f5-4b6b-b8d9-4f5db35e4192,Program,electronics,201.7
d4dc6c27-fa68-4f87-a41e-df32b4d0629b,Increase,electronics,302.52
2cd573ef-3f95-4803-9aec-afdf635222ce,Finally,Electronics,159.74
a667fa44-ff3a-4624-b3c2-5860ee87413b,Start,fashion,173.09
cef6cb42-81e2-4d0a-b444-49a29d5633e5,Health,Electronics,428.22
24fb620a-912b-44e9-bdcf-7141c968afc8,Try,fashion,366.84
6f5d0d9b-0799-41e1-8e65-f4eb8eb78430,Wrong,Electronics,177.45
9e10456a-3919-4af7-a0da-b28ae684404f,Film,home,82.61
181baf63-1cff-4ff0-b1af-f6d9a432f02a,Soldier,electronics,340.2
47425336-8f59-4b06-875d-d95d1ee63eb3,Stage,home,475.46
0e631a83-5921-4816-a451-061de069b08c,Real,Electronics,122.57
3aa610b2-ef4b-4a24-93c8-d3b342d8753e,Everybody,electronics,76.25
662463bb-33c0-4233-b4d2-ea30e3ff2573,Participant,Electronics,394.32
0e2fac18-01ad-477b-a26d-cef93e14364e,Unit,Home,225.24
caacd806-9938-4b31-aae2-800419d52f5d,Democratic,Fashion,70.64
bacd5091-5a38-4548-801c-c07d8b04c4ec,Thank,Home,450.64
79cfba5f-615d-4889-afe0-63280d297bbd,Term,Fashion,152.12
adf1ead5-1401-4e53-9931-fdbf0b514af8,Become,fashion,73.14
df15ccc1-aa5b-49ff-ae95-888d62c3458e,Kind,Fashion,200.75
54da4b44-1238-43c6-a51c-d64b3a413070,Particular,Electronics,431.18
cfa66ab7-b1c2-42db-9024-e91ad1de7d23,Citizen,home,355.62
494047fb-df89-4f18-9dd9-42a766d632e2,Seat,Fashion,8.51
b198cb59-dfb2-49e2-bc45-5922b276e353,Street,home,378.43
c5c4b430-bdce-455a-971a-c2c4f20abc8f,Door,Home,175.45
fb4bc9c2-53ef-4ec7-85c4-aa2e8d5cae88,Best,electronics,24.56
9f32a7a8-c28a-4d17-bea3-5ff95e1545b7,Ago,electronics,37.64
36bf0d15-e71f-4989-be9f-be4f9f97539c,Popular,home,216.15
51b8c0c1-d4d4-4c3d-a1b3-016aa1c9fe4d,Accept,fashion,117.98
ce2aba16-3b44-44e6-b159-3f0870f1ad57,Child,Fashion,160.01
dbf80da6-414a-4331-9699-a894fd1bfdd2,Authority,Electronics,395.81
96463ac1-f4f2-4150-b22f-796ee56920de,Dog,Electronics,223.23
1131b007-be48-4209-afae-84fda2f1c262,A,Electronics,50.89
a548622b-7c55-486c-bed9-edf1309850c3,Especially,home,134.69
bf79b9e2-e794-4daf-a203-1c4c510c5373,Economy,Electronics,75.11
85ffb6ed-61cc-401a-8e1b-2aac41727604,Dream,Home,72.75
146e2f8e-dbdd-4990-b64b-e973128f09fb,Watch,fashion,386.11
9a259747-0c27-43ac-9134-a3657631e5a2,Sort,Fashion,337.6
86c99cdc-9849-4409-b12f-06b6f6847fce,Population,Fashion,446.89
989e9d4f-ec3c-40a1-8cf2-b5fbb4df938f,Television,home,111.5
d9c3b810-2773-4fa1-b098-3b82d2689a5f,Agency,Fashion,486.51
5c0170cc-c74e-4dbc-80d9-db49e735174a,Dog,electronics,324.41
6afa2382-f4d9-459f-89a6-c00fd042a3cc,Outside,electronics,237.62
e6de117f-7f06-4356-8411-faabe19932d8,Property,Fashion,14.38
f42fb054-2c5a-4020-b74f-5543fd4d13f6,Memory,home,263.9
a20d5f16-1241-4123-885c-f082a3b5229c,Wrong,electronics,267.69
4fa1dcb8-0a9a-41db-8ccd-8e4c504aa20b,Student,home,387.81
da4bb0f4-d996-4ceb-9b9d-008000c2a6ed,Voice,Home,175.97
323a7caf-2ec4-4ff1-a83d-388ae7808423,Respond,electronics,54.56
1b246832-c4b8-455b-9160-a516876619e0,Sell,fashion,378
0018bb1d-c8a6-47d8-9f0b-a00cabccc650,Street,electronics,288.54
cf5036c2-2595-489e-bcd4-6fc3615cd0d5,Leader,electronics,200.67
b7e00729-9c85-49aa-9e04-f7af22d8b9eb,Plant,electronics,164.34
7a2cefbd-c9a4-460f-8b02-b50c94810991,College,Fashion,292.3
1bc93212-5708-4b28-a485-61c5a5454803,Mention,Home,459.65
4cd9717a-8233-4e36-ae22-e6b2701b8c67,Ahead,electronics,298.23
4899dea5-6ea9-43d6-a068-293b1247fc6e,Apply,electronics,170.55
d2105e91-ce9a-4ae3-9da6-9fdd39d51047,Quality,home,38.45
4cdd00e4-4f4d-4f3e-a710-2c4d0ffee4dc,Pm,Home,225.46
fd6dd23c-95c5-4441-a8b6-d569464c32f2,Feel,fashion,82.47
5ea78c42-a01e-4b84-848a-69df2758670c,Civil,Fashion,435.64
76e5b307-014c-4051-b9de-4982c8d7a12b,Least,Electronics,355.81
8d412dad-97c4-40a7-9e9e-fe8ae4d79252,Behavior,electronics,151.36
23c6d4d9-9768-44c6-aaf0-e16a3ce46ec3,Material,Fashion,349.76
babc48eb-28bf-4b3b-a6eb-b4da35240655,Simple,home,403.71
eb4f5d4a-d971-4cc7-8f13-b65ec63be8a0,Chance,home,343.28
39b95a83-24cb-4adb-ad3d-c63c3cc1f4d2,Treat,Fashion,211.67
e530542e-b073-4b49-b9a7-585c4b8dace8,Raise,fashion,348.75
9057ebf6-b50b-4e0a-85f3-d1b0d9654902,Population,fashion,415.36
39143ffb-96f9-47f4-ba04-c30eb4791338,Husband,Fashion,323.06
